dumb;star_name_string;date;time;jd;observer;site;resolution;lambda_min;lambda_max;file;image;last_update;comment
0;2massj01093484-0800329;2020-11-30;0:46;59183.449;VLZ;SSO-FR;998;3800;7501;asdb_2massj01093484-0800329_20201130_448.fit;asdb_2massj01093484-0800329_20201130_448.png;1615213573;
0;2massj01093484-0800329;2020-12-08;0:56;59191.456;VLZ;SSO-FR;980;3801;7501;asdb_2massj01093484-0800329_20201208_456.fit;asdb_2massj01093484-0800329_20201208_456.png;1615213573;
0;2massj01093484-0800329;2020-12-09;0:01;59192.834;PAD;KOL-SK;956;4200;7590;asdb_2massj01093484-0800329_20201209_834.fit;asdb_2massj01093484-0800329_20201209_834.png;1615213573;
0;2massj01093484-0800329;2020-12-12;8:34;59195.774;PAD;KOL-SK;1013;4000;7590;asdb_2massj01093484-0800329_20201212_774.fit;asdb_2massj01093484-0800329_20201212_774.png;1615213573;
0;2massj07363415+6538548;2020-12-06;1:00;59189.875;PAD;KOL-SK;880;4000;7590;asdb_2massj07363415+6538548_20201206_875.fit;asdb_2massj07363415+6538548_20201206_875.png;1615213573;
0;agdra;2013-04-03;2:01;56385.084;BUI;CAS-FR;613;3782;7575;asdb_agdra_20130403_084.fit;asdb_agdra_20130403_084.png;1615213573;
0;agdra;2014-03-20;0:56;56736.039;JMO;CAL-FR;610;3910;7380;asdb_agdra_20140320_039.fit;asdb_agdra_20140320_039.png;1615213573;
0;agdra;2014-03-23;3:25;56739.976;DBO;WCO-UK;663;3700;7550;asdb_agdra_20140323_976.fit;asdb_agdra_20140323_976.png;1615213573;
0;agdra;2014-03-23;3:46;56739.991;BUI;CAS-FR;665;3603;8698;asdb_agdra_20140323_990.fit;asdb_agdra_20140323_990.png;1615213573;
0;agdra;2014-03-28;3:22;56744.974;OGA;CAL-FR;702;3602;7599;asdb_agdra_20140328_973.fit;asdb_agdra_20140328_973.png;1615213573;
0;agdra;2014-04-03;4:58;56750.207;LES;MRO-CA;1330;4025;7480;asdb_agdra_20140403_207.fit;asdb_agdra_20140403_207.png;1615213573;
0;agdra;2014-04-06;2:41;56753.946;REV;OHP-FR;634;3874;7442;asdb_agdra_20140406_945.fit;asdb_agdra_20140406_945.png;1615213573;
0;agdra;2014-04-17;0:30;56764.021;JMO;CAL-FR;600;3886;7569;asdb_agdra_20140417_021.fit;asdb_agdra_20140417_021.png;1615213573;
