dumb;star_name_string;name;ra;dec;frequency;HR;LR
0;sscyg;SS Cyg;21 42 42.80;+43 35 09.86;-;-;-
0;ugem;U Gem;07 55 05.23;+22 00 05.05;-;-;-
0;ssaur;SS Aur;06 13 22.43;+47 44 25.34;-;-;-
0;v627peg;V627 Peg;21 38 06.62;+26 19 56.00;-;-;-
0;rxand;RX And;01 04 35.54;+41 17 57.78;-;-;-
0;gkper;GK Per;03 31 12.01;+43 54 15.47;-;-;-
0;asassn-14cl;ASASSN-14cl;21 54 57.62;+26 41 16.00;-;-;-
0;asassn-14cv;ASASSN-14cv;17 43 48.57;+ 52 03 45.76;-;-;-
0;asassn-14fc;ASASSN-14fc;20 16 23.52;+ 62 17 28.20;-;-;-
0;asassn-14jv;ASASSN-14jv;18 53 28.81;+42 03 43.16;-;-;-
0;asassn-15bp;ASASSN-15bp;12 12 40.42;+04 16 55.80;-;-;-
0;asassn-15ni;ASASSN-15ni;18 39 58.06;+22 21 17.80;-;-;-
0;asassn-19om;ASASSN-19om;19 28 22.19;+55 32 01.20;-;-;-
0;pnvj03093063+2638031;PNV J03093063+2638031;03 09 29.75;+26 38 04.35;-;-;-
0;pnvj06000985+1426152;PNV J06000985+1426152;06 00 09.85;+14 26 15.20;-;-;-
0;pnvj17592412+2520317;PNV J17592412+2520317;17 59 24.12;+25 20 31.70;-;-;-
0;tcpj21040470+4631129;TCP J21040470+4631129;21 04 04.70;+46 31 12.90;-;-;-
0;vsxj213806.5+261957;VSX J213806.5+261957;21 38 06.50;+26 19 57.00;-;-;-
0;suuma;SU UMa;08 12 28.26;+62 36 22.42;30;-;1
0;vyscl;VY Scl;23 29 00.47;-29 46 45.98;30;-;1
0;1rxsj022917.1-395851;1RXS J022917.1-395851;02 29 16.94;-39 59 01.64;90;-;3
0;irgem;IR Gem;06 47 34.68;+28 06 22.33;30;-;2
0;atcnc;AT Cnc;08 28 36.92;+25 20 03.04;30;-;2
0;cnori;CN Ori;05 52 07.78;-05 25 00.54;30;-;2
0;eruma;ER UMa;09 47 11.94;+51 54 08.95;30;-;2
0;esdra;ES Dra;15 25 31.81;+62 00 59.94;30;-;2
0;foaqr;FO Aqr;22 17 55.37;-08 21 03.75;30;-;2
0;tzper;TZ Per;02 13 50.96;+58 22 52.30;30;-;2
0;zcam;Z Cam;08 25 13.19;+73 06 39.28;30;-;2
0;yzcnc;YZ Cnc;08 10 56.65;+28 08 33.25;30;-;2
0;xleo;X Leo;09 51 01.46;+11 52 31.24;30;-;2
