dumb;star_name_string;name;ra;dec;gcvs;discovery_name
0;cncha;CN Cha;10 59 57.62;-79 57 01.1;CN Cha;
0;novaaql2015;Nova Aql 2015;19 21 50.12;+15 09 24.8;V1831 Aql;ASASSN-15qd 
0;novacar2018;Nova Car 2018;10 36 13.71;-59 35 55.1;V906 Car;ASASSN-18fv 
0;novacas2020;Nova Cas 2020;00 11 42.97;+66 11 19.0;V1391 Cas;TCP J00114297+6611190
0;novacas2021;Nova Cas 2021;23 24 47.73;+61 11 14.8;V1405 Cas;PNV J23244760+6111140
0;novacen2013;Nova Cen 2013;13 54 45.36;-59 09 04.2;V1369 Cen;PNV J13544700-5909080
0;novacen2017;Nova Cen 2017;13 20 55.35;-63 42 19.1;V1405 Cen;ASASSN-17gk
0;novacep2013;Nova Cep 2013;23 08 04.71;+60 46 52.1;V809 Cep;PNV J23080471+6046521 
0;novacep2014;Nova Cep 2014;20 54 23.86;+60 17 07.7;V962 Cep;TCP J20542386+6017077
0;novacir2018;Nova Cir 2018;13 53 27.60;-67 25 00.7;FM Cir;PNV J13532700-6725110
0;novacma2018;Nova CMa 2018;07 13 45.84;-21 12 31.3;V435 CMa;TCP J07134590-2112330
0;novacyg2014;Nova Cyg 2014;20 21 42.34 ;+31 03 29.6;V2659 Cyg;PNV J20214234+3103296
0;novacyg2019;Nova Cyg 2019;21 09 26.00;+48 10 51.9;V2891 Cyg;PGIR19brv
0;novadel2013;Nova Del 2013;20 23 30.68;+20 46 03.8;V339 Del;PNV J20233073+2046041
0;novaeri2009;Nova Eri 2009;04 47 54.21;-10 10 43.1;KT Eri;PNV J18142514-2554343
0;novalmc2019;Nova LMC 2019;05 14 53.60;-70 09 48.0;;PNV J18365700-2855420
0;novalup2016;Nova Lup 2016;15 29 01.82;-44 49 40.9;V407 Lup;PNV J15290182-4449409
0;novalup2018;Nova Lup 2018;15 38 43.84;-47 44 41.1;V408 Lup;PNV J15384000-4744500
0;novamon2012;Nova Mon 2012;06 39 38.74;+05 53 52.0;V959 Mon;PNV J06393874+0553520
0;novamus2018;Nova Mus 2018;11 26 15.16;-65 31 23.3;V357 Mus;PNV J11261220-6531086
0;novaoph2015;Nova Oph 2015;17 29 13.50;-18 46 12.0;V2944 Oph;PNV J17291350-1846120
0;novaoph2017;Nova Oph 2017;17 18 45.04;-24 54 22.1;V3663 Oph;PNV J17184490-2454220 
0;novaoph2018;Nova Oph 2018c;17 42 24.10;-20 53 08.8;V3666 Oph;PNV J17422408-2053088
0;novaori2019;Nova Ori 2019;06 09 57.40;+12 12 25.5;V2860 Ori;TCP J18102829-2729590
0;novaper2018;Nova Per 2018;04 43 21.40;+47 21 25.9;V392 Per;TCP J04432130+4721280
0;novaper2020;Nova Per 2020;04 29 18.80;+43 54 23.2 ;V1112 Per;TCP J04291884+4354232 
0;novasco2013;Nova Sco 2013;17 33 59.45;-36 06 21.1;1533 Sco;PNV J17335943-3606216
0;novasco2015;Nova Sco 2015;17 03 26.17;-35 04 17.8;V1535 Sco;PNV J17032620-3504140
0;novasco2016;Nova Sco 2016;17 38 19.27;-37 25 07.7;V1655 Sco;PNV J17381927-3725077
0;novasco2016b;Nova Sco 2016b;17 22 51.43;-31 58 36.3;V1656 Sco;PNV J17225112-3158349
0;novasco2017b;Nova Sco 2017b;17 30 34.18;-31 06 06.8;V1660 Sco;ASASSN-17nj
0;novasco2021;Nova Sco 2021;17 09 08.10;-37 30 40.9;V1710 Sco;PNV J17091000-3730500
0;novasct2009;Nova Sct 2009;18 43 45.57;-07 36 42.0;V496 Sct;
0;novasct2017;Nova Sct 2017;18 31 45.90;-14 18 55.6;V612 Sct;ASASSN-17hx 
0;novasct2018;Nova Sct 2018;18 29 22.90;-14 30 46.6;V613 Sct;TCP J18292290-1430460
0;novasct2019;Nova Sct 2019;18 39 59.80;-10 25 41.9;V659 Sct;TCP J18395972-1025415 
0;novasgr2014;Nova Sgr 2014;18 25 08.60 ;-22 36 02.4;V5666 Sgr;PNV J18250860-2236024
0;novasgr2015;Nova Sgr 2015;18 14 25.15;-25 54 34.7;V5667 Sgr;PNV J18142514-2554343
0;novasgr2015b;Nova Sgr 2015b;18 36 56.84;-28 55 39.8;V5668 Sgr;PNV J18365700-2855420
0;novasgr2015c;Nova Sgr 2015c;18 03 32.75;-28 16 05.4;V5669 Sgr;PNV J18033275-2816054
0;novasgr2016b;Nova Sgr 2016b;18 01 07.74;-26 31 42.0;V5853 Sgr;TCP J18102829-2729590
0;novasgr2016c;Nova Sgr 2016c;18 10 28.29;-27 29 59.0;V5855 Sgr;AT2019qwf
