dumb;Keyword;Object
0;ZAnd;Z And
0;Z and;Z And
0;agpeg;AG Peg
0;AG peg;AG Peg
0;CI CYG;CI Cyg
0;raqr_20100925;R Aqr
0;Hen 3-1768;Hen 3-1768
0;__agdra;AG Dra
0;__agpeg;AG Peg
0;__axper;AX Per
0;__bxmon;BX Mon
0;__cicyg;CI Cyg
0;__nqgem;NQ Gem
0;__raqr;R Aqr
0;__tcrb;T CrB
0;__v443her;V443 Her
0;__v694mon;V694 Mon
0;__zand;Z And
0;__zzcmi;ZZ CMi
0;_agdra;AG Dra
0;_agpeg;AG Peg
0;_bfcyg;BF Cyg
0;_bxmon;BX Mon
0;_chcyg;CH Cyg
0;_chcyg_alpy600;CH Cyg
0;_chcyg_lhiresIII2400;CH Cyg
0;_nqgem;NQ Gem
0;_tcrb;T CrB
0;_uvaur;UV Aur
0;_v443her;V443 Her
0;_zzcmi;ZZ CMi
0;02_v694mon;V694 Mon
0;03_BFCyg;BF Cyg
0;03_ZAnd;Z And
0;15_axper;AX Per
0;15_nqgem;NQ Gem
0;20_uvaur;UV Aur
0;24_v694mon;V694 Mon
0;AG  DRA;AG Dra
0;AG Dra;AG Dra
0;AG DRA;AG Dra
0;ag dra;AG Dra
0;AG dra;AG Dra
0;Ag Dra;AG Dra
0;AG Peg;AG Peg
0;AG PEG;AG Peg
0;ag peg;AG Peg
0;ag Peg;AG Peg
0;Ag Peg;AG Peg
0;AGDra;AG Dra
0;agdra;AG Dra
0;AGDRA;AG Dra
0;agDra;AG Dra
0;AGPeg;AG Peg
0;AGPEG;AG Peg
0;Agpeg;AG Peg
0;AGpeg;AG Peg
0;AGPeg20101031;AG Peg
0;agpeg;AGPeg
0;AS 270;AS 270
0;AS210;AS 210
0;AS245;AS 245
0;AS270;AS 270
0;as270;AS 270
0;AS289;AS 289
0;AS323;AS 323
0;ASAS J185604-2327.2;ASAS J185604-2327.2
0;ASASSN -V J081823;ASASSN-V J192916.53-224040.3
0;ASASSN-V J163807.84-284207.6;ASASSN-V J163807.84-284207.6
0;ASASSN-V J175047.54-390117.8;ASASSN-V J175047.54-390117.8
0;ASASSN-V J192916.53-2240403;ASASSN-V J192916.53-224040.3
0;AX Per;AX Per
0;ax per;AX Per
0;AX PER;AX Per
0;Ax Per;AX Per
0;AX per;AX Per
0;AX_Per;AX Per
0;axper;AX Per
0;AXPer;AX Per
0;BD Cam;BD Cam
0;BD CAM;BD Cam
0;bd cam;BD Cam
0;Bd Cam;BD Cam
0;BDCam;BD Cam
0;BDCam_jmontier;BD Cam
0;BF Cyg;BF Cyg
0;bf cyg;BF Cyg
0;BF CYG;BF Cyg
0;Bf Cyg;BF Cyg
0;BF cyg;BF Cyg
0;bfcyg;BF Cyg
0;BFCYG;BF Cyg
0;BFCyg;BF Cyg
0;BX Mon;BX Mon
0;BX MON;BX Mon
0;bx mon;BX Mon
0;bxmon;BX Mon
0;BXMON;BX Mon
0;BXMon;BX Mon
0;CI Cyg;CI Cyg
0;ci cyg;CI Cyg
0;Ci Cyg;CI Cyg
0;Ci cyg;CI Cyg
0;ci Cyg;CI Cyg
0;CI cyg;CI Cyg
0;CI_Cyg;CI Cyg
0;cicyg;CI Cyg
0;CICYG;CI Cyg
0;CICyg;CI Cyg
0;CiCyg;CH Cyg
0;cicyg1;CI Cyg
0;cicygb;CI Cyg
0;CM Aql;CM Aql
0;CQ DRA;CQ Dra
0;CQ Dra;CQ Dra
0;Cq Dra;CQ Dra
0;CQDra;CQ Dra
0;del Sge;del Sge
0;DEL SGE;del Sge
0;DR2 4636654969717900032;Gaia DR2 4636654969717900032
0;DR2 5917238398632196736;Gaia DR2 5917238398632196736
0;EFAql;EF Aql
0;EG and;EG And
0;eg and;EG And
0;EG And;EG And
0;EG AND;EG And
0;eg And;EG And
0;Eg And;EG And
0;Eg and;EG And
0;eg and 20100812;EG And
0;egand;EG And
0;EGAnd;EG And
0;EN Sgr;EN Sgr
0;ER DEL;ER Del
0;ER Del;ER Del
0;erdel;ER Del
0;FAST 1100;FASTT 1100
0;FastT 1100;FASTT 1100
0;FASTT 1100;FASTT 1100
0;FASTT1100;FASTT 1100
0;FG Ser;FG Ser
0;fgser;FG Ser
0;FGSer;FG Ser
0;FN Sgr;FN Sgr
0;GAA_DR2_41315875002733611280;Gaia DR2 4131587500273361280
0;GAIA DR2 4150446010182968192;Gaia DR2 4150446010182968192
0;GAIA DR2 416802;Gaia DR2 4168021909706732672
0;Gaia DR2 6345873798283774848;Gaia DR2 6345873798283774848
0;GAIA DR24048168377818693632;Gaia DR2 4048168377818693632
0;GDS J0731468-195434;GDS J0731468-195434
0;GH GEM;GH Gem
0;GH Gem;GH Gem
0;GHGem;GH Gem
0;GSC 05140-3255;GSC 05140-3255
0;GSC9507 2249;GSC 9507 2249
0;Haro 1-10;Haro 1-10
0;Haro1-10;Haro 1-10
0;HBHA1704-05;V426 Sge
0;HbHa1704-05;V426 Sge
0;HBHA1704-5;V426 Sge
0;V426 Sge;V426 Sge
0;V426Sge;V426 Sge
0;Hen 3-1768;Hen 3-1768
0;Hen2-468;Hen 2-468
0;Hen3-1341;Hen 3-1341
0;Hen3-1342;Hen 3-1342
0;hh sge;HH Sge
0;HM Sge;HM Sge
0;hm sge;HM Sge
0;hmsge;HM Sge
0;HMSge;HM Sge
0;CH  CYG;CH Cyg
0;CH Cig;CH Cyg
0;CH Cyg;CH Cyg
0;ch cyg;CH Cyg
0;CH CYG;CH Cyg
0;Ch Cyg;CH Cyg
0;ch Cyg;CH Cyg
0;CH cyg;CH Cyg
0;Ch cyg;CH Cyg
0;chcyg;CH Cyg
0;CHcyg;CH Cyg
0;CHCyg;CH Cyg
0;chCyg;CH Cyg
0;CHCYG;CH Cyg
0;ChCyg;CH Cyg
0;ch-cyg;CH Cyg
0;IRAS 13224-5839;IRAS 13224-5839
0;IRAS 15175-4508;IRAS 15175-4508
0;IRAS13224-5839;IRAS 13224-5839
0;IV VIR;IV Vir
0;IV Vir;IV Vir
0;ivvir;IV Vir
0;LT DEL;LT Del
0;LT Del;LT Del
0;Lt Del;LT Del
0;MIRA;omi Cet
0;MWC960;MWC 960
0;NQ GEM;NQ Gem
0;NQ Gem;NQ Gem
