dumb;Keyword;Site;Name;City;Country;Longitude;Latitude
0;AMPERE(Lyon);AMP-FR;;Lyon;FR;4.82;45.76
0;AMP-FR;AMP-FR;un;Lyon;FR;4.82;45.76
0;Antibes;ANT-FR;;Antibes;FR;7.12;43.58
0;LAquila;AQL-IT;;L'Aquila;IT;13.41;42.33
0;Arizona;ARI-US;;???;US;0.0;0.0
0;Mirranook Armidale;ARM-AU;;Mirranook Armidale;AU;151.57;-30.46
0;Antibes Saint-Jean;ANT-FR;;Antibes;FR;7.12;43.58
0;Aspremont (06) Fr;ASP-FR;;Aspremont;FR;7.24;43.78
0;AshleyPark;ASP-UK;;;UK;-1.66;53.9
0;Balzaretto Observatory (A81);BAL-IT;Balzaretto Observatory (A81);;IT;13.41;42.33
0;Bellavista Obs. L;BVO-IT;;;IT;13.41;42.33
0;Bellavista Obs. L'Aquila;BVO-IT;;;IT;13.41;42.33
0;C.A.L.C;CAL-FR;Observatoire CALA;Lyon;FR;4.82;45.76
0;CALA;CAL-FR;Observatoire CALA;Lyon;FR;4.82;45.76
0;CALC;CAL-FR;Observatoire CALA;Lyon;FR;4.82;45.76
0;Obs CALA (LYON);CAL-FR;Observatoire CALA;Lyon;FR;4.82;45.76
0;Observatoire du CALA;CAL-FR;Observatoire du CALA;;FR;4.82;45.76
0;CAR-US;CAR-US;un;Carrollton TX;US;-96.92;33.0
0;Carrollton TX;CAR-US;un;Carrollton TX;US;-96.92;33.0
0;Castanet;CAS-FR;;Toulouse;FR;1.51;43.52
0;Castanet-Tolosan;CAS-FR;;Toulouse;FR;1.51;43.52
0;Toulouse (FR);CAS-FR;;Toulouse;FR;1.51;43.52
0;CAS-FR;CAS-FR;un;Toulouse;FR;1.51;43.52
0;CERGA;CER;un;un;un;0.0;0.0
0;Claix;CLX-FR;;Claix;FR;5.68;45.13
0;Desert Celestial Observatory;DCO-US;Desert Celestial Observatory;;US;-111.8;33.37
0;DESERT CELESTIAL OBSERVATORY;DCO-US;Desert Celestial Observatory;;US;-111.8;33.37
0;Dark Horizons Observatory;DHO-US;;Idaho Falls;US;-112.97;43.5
0;Idaho Falls, ID;DHO-US;Dark Horizon Observatory;Idaho Falls;US;-112.97;43.5
0;Idaho Falls, Idaho;DHO-US;Dark Horizon Observatory;Idaho Falls;US;-112.97;43.5
0;Idaho falls, Idaho;DHO-US;Dark Horizon Observatory;Idaho Falls;US;-112.97;43.5
0;Durtal (UAI949);DUR-FR;;Durtal;FR;-0.23;47.67
0;Grand Lake, CO;GRL-US;;Grand Lake;US;-105.86;40.23
0;Huggins Observatory_Rayleigh_UK;HOR-UK;Huggins Observatory;Rayleigh;UK;51.59;0.07
0;East Essex;EES-UK;;East Essex;UK;0.85;50.68
0;Le Havre;HVR-FR;;Le Havre;FR;0.18;49.5
0;Chelles;CHE-FR;;Chelles;FR;2.5929;48.88
0;IGeoE - Portugal;IGE-PT;;;PT;0.0;0.0
0;Jade Tianjin;JAD-CH;;Jade;CH;117.25;39.16
0;Juvignac;JUV-FR;;;;0.0;0.0
0;K10-FR_Reilhanette;K10-FR;un;Reilhanette;FR;5.42;44.17
0;K21 St Saturnin Les Avignon;K21-FR;;St Saturnin Les Avignon;FR;4.93;43.96
0;K21-FR;K21-FR;;St Saturnin Les Avignon;FR;4.93;43.96
0;KGH-UK;KGH-UK;un;Sheffield;UK;-1.03;53.37
0;Kolonica;KOL-SK;;Kolonica;SK;22.27;48.94
0;KOLONICA;KOL-SK;;Kolonica;SK;22.27;48.94
0;Latina IT;LAT-IT;;Latina;IT;1.51;43.52
