;dumb;star_name_string;name;ra;dec;frequency;HR;LR
0;0;[als88]1;[ALS88] 1;19 16 16.07;-08 17 45.89;30;3;2
1;0;agdra;AG Dra;16 01 41.01;+66 48 10.13;30;0;0
2;0;agpeg;AG Peg;21 51 01.97;+12 37 32.12;15;1;1
3;0;arpav;AR Pav;18 15 23.88;-66 04 42.93;8;1;1
4;0;as210;AS 210;16 51 20.41;-26 00 26.70;30;1;1
5;0;as245;AS 245;17 51 00.92;-22 19 35.07;30;4;4
6;0;as255;AS 255;17 57 08.71;-35 15 37.80;30;2;1
7;0;as270;AS 270;18 05 33.73;-20 20 38.08;30;4;4
8;0;as289;AS 289;18 12 22.14;-11 40 07.12;30;4;4
9;0;as316;AS 316;18 42 32.80;-21 17 46.65;30;3;2
10;0;as316;AS 316;18 42 32.80;-21 17 46.66;30;-;1
11;0;as323;AS 323;18 48 35.68;-06 41 10.45;30;4;4
12;0;as327;AS 327;18 53 16.66;-24 22 58.80;30;-;1
13;0;axper;AX Per;01 36 22.70;+54 15 02.41;8;0;0
14;0;bdcam;BD Cam;03 42 09.33;+63 13 00.46;90;3;3
15;0;bfcyg;BF Cyg;19 23 53.50;+29 40 29.17;30;1;1
16;0;bxmon;BX Mon;07 25 22.76;-03 35 50.64;30;2;2
17;0;chcyg;CH Cyg;19 24 33.07;+50 14 29.06;1;0;1
18;0;cicyg;CI Cyg;19 50 11.83;+35 41 03.00;8;1;1
19;0;clsco;CL Sco;16 54 51.97;-30 37 18.26;30;-;1
20;0;cmaql;CM Aql;19 03 35.14;-03 03 15.36;30;1;1
21;0;cncha;CN Cha;10 59 57.62;-79 57 01.06;30;2;2
22;0;cqdra;CQ Dra;12 30 06.67;+69 12 03.99;90;3;3
23;0;ddmic;DD Mic;21 00 06.36;-42 38 44.94;30;2;2
24;0;dqser;DQ Ser;18 44 39.62;+05 02 49.08;30;-;2
25;0;dtpsc;DT Psc;01 14 04.90;+28 31 46.44;90;3;3
26;0;efaql;EF Aql;19 51 51.72;-05 48 16.71;30;3;3
27;0;egand;EG And;00 44 37.19;+40 40 45.70;30;1;3
28;0;erdel;ER Del;20 42 46.50;+08 41 13.54;30;3;2
29;0;fgser;FG Ser;18 15 07.10;-00 18 52.28;30;3;1
30;0;fnsgr;FN Sgr;18 53 54.77;-18 59 40.66;30;3;1
31;0;ghgem;GH Gem;07 04 12.77;+12 03 34.24;90;4;4
32;0;hen2-247;Hen 2-247;17 34 17.21;-19 09 22.80;30;-;1
33;0;hen2-468;Hen 2-468;20 41 18.99;+34 44 52.33;30;4;4
34;0;hen3-1341;Hen 3-1341;17 08 36.57;-17 26 30.41;30;4;4
35;0;hen3-1342;Hen 3-1342;17 08 54.97;-23 23 36.50;30;4;4
36;0;hen3-1410;Hen 3-1410;17 29 06.20;-29 43 17.59;30;-;2
37;0;hen3-1591;Hen 3-1591;18 07 32.01;-25 53 43.32;30;3;2
38;0;hen3-1768;Hen 3-1768;19 59 48.42;-82 52 37.49;30;4;4
39;0;hen3-860;Hen 3-860;13 06 12.93;-53 22 52.50;0;1;1
40;0;hen4-204;Hen 4-204;22 45 01.41;-44 52 38.45;30;-;2
41;0;hksco;HK Sco;16 54 41.03;-30 23 06.88;30;-;1
42;0;hmsge;HM Sge;19 41 57.08;+16 44 39.86;30;4;2
43;0;ivvir;IV Vir;14 16 34.29;-21 45 50.04;30;3;1
44;0;ltdel;LT Del;20 35 57.24;+20 11 27.50;30;2;2
45;0;mwc960;MWC 960;18 47 55.81;-20 05 50.98;30;3;3
46;0;nqgem;NQ Gem;07 31 54.52;+24 30 12.54;30;2;3
47;0;nsv11776;NSV 11776;19 09 56;-02 47.7;30;-;1
48;0;omicet;omi Cet;02 19 20.79;-02 58 39.50;15;1;1
49;0;pnth3-18;PN Th 3-18;17 28 26.92;-28 38 34.63;30;3;2
50;0;puvul;PU Vul;20 21 13.31;+21 34 18.69;30;2;2
51;0;qwsge;QW Sge;19 45 49.55;+18 36 47.66;30;3;3
52;0;raqr;R Aqr;23 43 49.46;-15 17 04.18;8;0;0
53;0;rrtel;RR Tel;20 04 18.54;-55 43 33.15;30;1;1
54;0;rsoph;RS Oph;17 50 13.16;-06 42 28.48;30;0;0
55;0;rtcru;RT Cru;12 34 53.74;-64 33 56.10;30;3;3
56;0;rtser;RT Ser;17 39 51.98;-11 56 38.82;30;4;4
