dumb;star_name_string;name
0;hen3-1768;Hen 3-1768
0;ensgr;EN Sgr
0;gaiadr26345873798283774848;Gaia DR2 6345873798283774848
0;asassn-vj192916.53-224040.3;ASASSN-V J192916.53-224040.3
0;gaiadr24048168377818693632;Gaia DR2 4048168377818693632
0;gaiadr24150446010182968192;Gaia DR2 4150446010182968192
0;gaiadr25917238398632196736;Gaia DR2 5917238398632196736
0;ss295;SS 295
0;fastt1100;FASTT 1100
0;gaiadr24636654969717900032;Gaia DR2 4636654969717900032
0;ucac380-46364;UCAC3 80-46364
0;ucac3157-4452;UCAC3 157-4452
0;gdsj0731468-195434;GDS J0731468-195434
0;gsc95072249;GSC 9507 2249
0;gaiadr24131587500273361280;Gaia DR2 4131587500273361280
0;gaiadr24168021909706732672;Gaia DR2 4168021909706732672
0;v2525oph;V2525 Oph
0;as245;AS 245
0;asasj185604-2327.2;ASAS J185604-2327.2
0;gsc05140-3255;GSC 05140-3255
0;iras13224-5839;IRAS 13224-5839
0;iras15175-4508;IRAS 15175-4508
0;haro1-10;Haro 1-10
0;wray15-1356;WRAY 15-1356
0;v589cra;V589 CrA
0;v1918sgr;V1918 Sgr
0;asassn-vj163807.84-284207.6;ASASSN-V J163807.84-284207.6
0;asassn-vj175047.54-390117.8;ASASSN-V J175047.54-390117.8
0;gaiadr25917238398632196736;Gaia DR2 5917238398632196736
