dumb;star_name_string;name
0;delsge;del Sge
0;v379peg;V379 Peg
0;pnk1-6;PN K1-6
0;v1017cyg;V1017 Cyg
0;v562lyr;V562 Lyr
0;hhsge;HH Sge
0;hen3-860;Hen 3-860
0;iras19050+0001;IRAS 19050+0001
0;ec19249-7343;EC 19249-7343
0;hen4-204;Hen 4-204
0;v618sgr;V618 Sgr
0;v2204oph;V2204 Oph
0;v1988sgr;V1988 Sgr
0;v5590sgr;V5590 Sgr
0;asasj174600-2321.3;ASAS J174600-2321.3
0;bltel;BL Tel
0;2massj01093484-0800329;2MASS J01093484-0800329
0;2massj07363415+6538548;2MASS J07363415+6538548
0;lpsgr;LP Sgr
0;gaia19dxh;gaia 19dxh
0;v917sco;V917 Sco
0;gaia21dxi;gaia 21dxi
0;as280;AS 280
0;tyc1371-69-1;TYC 1371-69-1
0;gaia19bpg;gaia 19bpg
0;gaia20fut;gaia 20fut
0;gaia19dpl;gaia 19dpl
0;gaia19aed;gaia 19aed
0;gaia18ctm;gaia 18ctm
0;hen4-137;hen 4-137
0;lkha316;lkh a316
0;rtcar;RT Car
0;v748cen;V748 Cen
0;wray16-51;Wray 16-51
0;tha15-31;THA 15-31
0;vxcrv;VX Crv
0;v893cen;V893 Cen
0;v345nor;V345 Nor
0;xxoph;XX Oph
0;lymus;LY Mus
0;v371cra;V371 Cra
0;src486;Src 486
0;src196;Src 196
0;hu21;Hu 2-1
0;DT Psc;DT Psc
0;XX Oph;XX Oph
0;LY Mus;LY Mus
0;2MASS_J15292939-5612133;2MASS J15292939-5612133
0;EC 20504-2232;EC 20504-2232
0;IRAS 19096_023;IRAS 19096+0232
0;Src 527;Src 527
0;v335vul;V335 Vul
0;oycyg;OY Cyg
0;Hen-4-129;Hen-4 129
0;Hen-4-129;Hen 4-129
0;HD161224;HD 161224
0;HD330993;HD 330993
0;DT Psc;DT Psc
0;Hu 2-1;Hu 2-1
0;al4;AL 4
0;as241;AS 241
0;StHA 154;StHA 154
