#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-10-19T17:09:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ562523b078bd	
#INFO	-out.max=1000	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/A+AS/139/135&tab:{J/A+AS/139/135/table2}&key:source=J/A+AS/139/135/table2&HTTPPRM:&
#-source=J/A+AS/139/135/table2
#-order=I
#-out=LambdaMea
#-out=DeltaV
#-out=n_DeltaV
#-out=Int
#-out=Intc
#-out=n_Intc
#-out=Line
#-out=n_Line
#-out=LambdaLab
#-out=n_LambdaLab
#-out=Mult
#-out=F
#

#RESOURCE=yCat_41390135
#Name: J/A+AS/139/135
#Title: The Optical Spectrum of RR Tel (Crawford+ 1999)
#Table	J_A_AS_139_135_table2:
#Name: J/A+AS/139/135/table2
#Title: Line list for RR Telescopii, with absolute flux calibrated intensities shown, for the wavelength range 3490 - 5530{AA}
#Column	LambdaMea	(F7.2)	Measured wavelength	[ucd=]
#Column	DeltaV	(I3)	Velocity FWHM	[ucd=]
#Column	n_DeltaV	(A1)	[h] Note on DeltaV (2)	[ucd=]
#Column	Int	(F6.3)	Measured intensity	[ucd=]
#Column	Intc	(F6.3)	Corrected intensity (1)	[ucd=]
#Column	n_Intc	(A1)	[efgkl] Note on Intc (2)	[ucd=]
#Column	Line	(a8)	Identity of line	[ucd=]
#Column	n_Line	(A1)	[j] Note on line (3)	[ucd=]
#Column	LambdaLab	(F7.2)	Laboratory wavelength	[ucd=]
#Column	n_LambdaLab	(A1)	[bcgi] Note on labLam (2)	[ucd=]
#Column	Mult	(I3)	? Multiplet number [NULL integer written as an empty string]	[ucd=]
#Column	F	(A1)	[F] F: forbidden line	[ucd=]
LambdaMea;DeltaV;n_DeltaV;Int;Intc;n_Intc;Line;n_Line;LambdaLab;n_LambdaLab;Mult;F
0.1nm;km/s; ;10-12mW/m2;10-12mW/m2; ; ; ;0.1nm; ; ;
-------;---;-;------;------;-;--------;-;-------;-;---;-
3488.30; 74; ; 0.780; 1.103; ;OII     ; ;3488.18; ;  7;
3489.95; 13; ; 0.004; 0.006; ;[FeII]  ; ;3489.98; ; 26;F
3491.68; 44; ; 0.145; 0.205; ;ArII    ; ;3491.54; ; 44;
3492.74; 14; ; 0.028; 0.039; ;[FeVI]  ; ;3492.10; ;  4;F
3493.92; 12; ; 0.071; 0.100; ;CrII    ; ;3494.05; ;   ;
3501.34; 79; ; 0.403; 0.570; ;FII     ; ;3501.42; ;  3;
3506.92; 12; ; 0.011; 0.016; ;FeII    ; ;3507.39;c; 16;
3509.38; 45; ; 0.023; 0.032; ;OVI     ; ;3509.00; ;  5;
3511.21; 11; ; 0.003; 0.004; ;FeII    ; ;3511.25; ;102;
3511.88; 27; ; 0.021; 0.030; ;CrII    ; ;3511.85; ;  2;
3513.30; 12; ; 0.004; 0.006; ;CrII    ; ;3513.03; ;107;
3530.00; 27; ; 0.023; 0.033; ;HeI     ; ;3530.50; ; 36;
3535.54; 17; ; 0.007; 0.010; ;FII     ; ;3535.20; ;  6;
3537.99; 13; ; 0.006; 0.008; ;NeII    ; ;3537.99; ; 50;
3538.48; 14; ; 0.011; 0.015; ;[FeII]  ; ;3538.69; ; 26;F
3539.34; 18; ; 0.004; 0.005; ;[FeII]  ; ;3539.19; ; 26;F
3553.88; 28; ; 0.028; 0.039; ;HeI     ; ;3554.40; ; 34;
3555.30; 44; ; 0.212; 0.300; ;[FeVI]  ; ;3555.60; ;  4;F
3558.79; 17; ; 0.008; 0.012; ;ScII    ; ;3558.54; ;  3;
3560.45; 16; ; 0.005; 0.007; ;OIV     ; ;3560.42; ; 12;
3573.72; 47; ; 0.066; 0.094; ;[FeVI]  ; ;3573.86; ;  9;F
3576.25; 14; ; 0.003; 0.005; ;ScII    ; ;3576.34; ;  3;
3577.48; 16; ; 0.002; 0.003;e;VII     ; ;3577.64; ; 69;
