#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-10-19T17:10:47 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5625240504c5	
#INFO	-out.max=1000	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/A+AS/139/135&tab:{J/A+AS/139/135/table3}&key:source=J/A+AS/139/135/table3&HTTPPRM:&
#-source=J/A+AS/139/135/table3
#-order=I
#-out=LambdaMea
#-out=DeltaV
#-out=n_DeltaV
#-out=Int
#-out=Intc
#-out=n_Intc
#-out=Line
#-out=n_Line
#-out=LambdaLab
#-out=n_LambdaLab
#-out=Mult
#-out=F
#

#RESOURCE=yCat_41390135
#Name: J/A+AS/139/135
#Title: The Optical Spectrum of RR Tel (Crawford+ 1999)
#Table	J_A_AS_139_135_table3:
#Name: J/A+AS/139/135/table3
#Title: Line list for RR Telescopii, in the wavelength range 3183 - 3488{AA} and 5550 - 9456{AA}, with intensities flux calibrated using the HeII recombination line ratios of Hummer and Storey (1987MNRAS.224..801H) and Storey and Hummer (1995MNRAS.272...41S)
#Column	LambdaMea	(F7.2)	Measured wavelength	[ucd=]
#Column	DeltaV	(I3)	Velocity FWHM	[ucd=]
#Column	n_DeltaV	(A1)	[h] Note on DeltaV (2)	[ucd=]
#Column	Int	(F6.3)	Measured intensity	[ucd=]
#Column	Intc	(F6.3)	Corrected intensity (1)	[ucd=]
#Column	n_Intc	(A1)	[efgkl] Note on Intc (2)	[ucd=]
#Column	Line	(a8)	Identity of line	[ucd=]
#Column	n_Line	(A1)	[j] Note on line (3)	[ucd=]
#Column	LambdaLab	(F7.2)	Laboratory wavelength	[ucd=]
#Column	n_LambdaLab	(A1)	[bcgi] Note on labLam (2)	[ucd=]
#Column	Mult	(I3)	? Multiplet number [NULL integer written as an empty string]	[ucd=]
#Column	F	(A1)	[F] F: forbidden line	[ucd=]
LambdaMea;DeltaV;n_DeltaV;Int;Intc;n_Intc;Line;n_Line;LambdaLab;n_LambdaLab;Mult;F
0.1nm;km/s; ;10-12mW/m2;10-12mW/m2; ; ; ;0.1nm; ; ;
-------;---;-;------;------;-;--------;-;-------;-;---;-
3183.59; 14; ; 0.331; 0.112; ;MnII    ; ;3183.61; ;   ;
3185.72; 15; ; 0.139; 0.046; ;OIV     ; ;3185.72; ;  7;
3187.09; 17; ; 0.117; 0.038; ;HeI     ; ;3187.74; ;  3;
3188.15; 46; ; 0.427; 0.143; ;VII     ; ;3188.10; ;  8;
3193.09; 16; ; 0.150; 0.051; ;SiII    ; ;3193.10; ;   ;
3196.20; 17; ; 0.288; 0.097; ;FeII    ; ;3196.07; ;  7;
3203.17; 59; ;14.820; 5.014; ;HeII    ; ;3203.10; ;  1;
3213.34; 16; ; 0.246; 0.082; ;FeII    ; ;3213.31; ;  6;
3221.09; 47; ; 0.470; 0.158; ;FeII    ; ;3220.84; ;106;
3227.76; 20; ; 0.288; 0.097; ;FeII    ; ;3227.73; ;  6;
3234.86; 16; ; 0.043; 0.013; ;FeII    ; ;3234.92; ;  1;
3239.88; 42; ; 0.096; 0.031; ;VII     ; ;3239.88; ; 61;
3239.88; 42; ; 0.096; 0.031; ;FeII    ; ;3239.87; ; 81;
3241.67; 41; ; 0.107; 0.036; ;[ArIII] ; ;3241.74; ;   ;F
3255.92; 17; ; 0.117; 0.041; ;FeII    ; ;3255.88; ;  1;
3264.65; 12; ; 0.043; 0.013; ;[FeII]  ; ;3264.84; ; 11;F
3265.24; 37; ; 0.085; 0.028; ;OIII    ; ;3265.46; ;  8;
3266.99; 43; ; 0.075; 0.026; ;FeII    ; ;3267.03; ; 80;
3266.99; 43; ; 0.075; 0.026; ;VII     ; ;3266.91; ;137;
3277.25; 19; ; 0.181; 0.061; ;[FeII]  ; ;3277.12; ; 11;F
3281.26; 18; ; 0.288; 0.100; ;FeII    ; ;3281.29; ;  1;
3285.24; 13; ; 0.043; 0.015; ;FeII    ; ;3285.42; ;  1;
3289.33; 16; ; 0.032; 0.010; ;FeII    ; ;3289.35; ; 65;
3295.71; 15; ; 0.107; 0.038; ;FeII    ; ;3295.81; ;  1;
3299.37; 35; ; 1.282; 0.434; ;OIII    ; ;3299.36; ;  3;
