0;name;NAME;GSCV;Discovery
1;v0838mon;Nova Mon 2002;V838 Mon;
2;novamon2012;Nova Mon 2012;V959 Mon;PNV J06393874+0553520
3;novacep2013;Nova Cep 2013;V809 Cep;
4;novasco2013;Nova Sco 2013;V1533 Sco;PNV J17335943-3606216
5;novadel2013;Nova Del 2013;V339 Del;PNV J20233073+2046041
6;v1369cen;Nova Cen 2013;V1369 Cen;
7;novasgr2014;Nova Sgr 2014;V5666 Sgr;PNV J18250860-2236024
8;novacep2014;Nova Cep 2014;V962 Cep;TCP J20542386+6017077
9;novacyg2014;Nova Cyg 2014;;
10;novasco2015;Nova Sco 2015;V1335 Sco;PNV J17032620-3504140
11;novasgr2015;Nova Sgr 2015;V5667 Sgr;PNV J18142514-2554343
12;novasgr2015b;Nova Sgr 2015b;V5668 Sgr;PNV J18365700-2855420
13;novaoph2015;Nova Oph 2015;V2944 Oph;PNV J17291350-1846120
14;novasgr2015c;Nova Sgr 2015c;V5669 Sgr;PNV J18033275-2816054
15;novaaql2015;Nova Aql 2015;V1831 Aql;ASASSN-15qd
16;novasco2016;Nova Sco 2016;;PNV J17381927-3725077
17;novasco2016b;Nova Sco 2016b;V1656 Sco;ASASSN-16kd
18;novasgr2016b;Nova Sgr 2016b;V5853 Sgr;ASASSN-16ig
19;novalup2016;Nova Lup 2016;V1656 Sco;ASASSN-16kd
20;novasgr2016c;Nova Sgr 2016c;V407 Lup;ASASSN-16kt
21;novasgr2016d;Nova Sgr 2016d;V5855 Sgr;TCP J18102829-2729590
22;novacen2017;Nova Cen 2017;V1405 Cen;ASASSN-17gk
23;novasct2017;Nova Sct 2017;;ASASSN-17hx
24;novavel2017;Nova Vel 2017;V549 Vel;ASASSN-17mt
25;novaoph2017b;Nova Oph 2017b;V3663 Oph;PNV J17184504-2454221
26;novasco2017b;Nova Sco 2017b;V1660 Sco;ASASSN-17nj
27;novamus2018;Nova Mus 2018;V357 Mus;PNV J11261220-6531086
28;novacir2018;Nova Cir 2018;FM Cir;PNV J13532700-6725110
29;asassn-18fv;Nova Car 2018;V906 Car;ASSASN-18fv
30;novacma2018;Nova CMa 2018;V435 CMa;TCP J07134590-2112330
31;v392per;Nova Per 2018;V392 Per;TCP J04432130+4721280
32;novasct2018;Nova Sct 2018;V408 Lup;PNV J15384000-4744500
33;novalup2018;Nova Lup 2018;V613 Sct;TCP J18292290-1430460
34;novaoph2018c;Nova Oph 2018c;V3666 Oph;PNV J17422408-2053088
35;novasmc2019;Nova SMC 2019;;ASASSN-19qv
36;v3890sgr;V3890 Sgr;V3890 Sgr;
37;novaori2019;Nova Ori 2019;;PNV J06095740+1212255
38;pgir19brv;Nova Cyg 2019;V2891 Cyg;PGIR19brv
39;v659sct;Nova Sct 2019;V659 Sct;TCP J18395972-1025415
40;pnvj05145365-700948;Nova LMC 2019;;AT2019uni
41;novasgr2020c;Nova Sgr 2020c;V6568 Sgr;PNV J17580848-3005376
42;novacas2020;Nova Cas 2020;V1391 Cas;TCP J00114297+6611190
43;novasgr2020d;Nova Sgr 2020d;V6593 Sgr;PNV J17545999-2122401
44;novasmc2020;Nova SMC 2020;;ASASSN-20ni
45;novaper2020;Nova Per 2020;V1112 Per;TCP J04291884+4354232
46;novacas2021;Nova Cas 2021;V1405 Cas;PNV J23244760+6111140
47;novasgr2021a;Nova Sgr2021a;V6594 Sgr; ASASSN-21eh
48;v1112per;Nova Per 2020;V1112 Per;TCP J04291884+4354232
